2025-07-24 01:04:15.843316, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:15:24.624162, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:16:24.685301, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:17:24.738230, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:18:20.026525, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:18:25.045018, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:18:30.065808, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:18:35.108819, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:18:40.169112, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:18:45.222882, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:18:50.266510, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:15.597932, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:15.625136, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:15.654942, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:15.680457, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:15.716787, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:15.740614, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:15.766750, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:15.797470, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:15.823213, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:15.847737, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:15.873946, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:15.894759, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:15.915192, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:16.007866, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:16.034549, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:16.050908, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:16.081014, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:16.098882, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:16.124232, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:16.148450, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:16.174020, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:16.194814, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:16.216833, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:16.240968, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:16.261677, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:16.291167, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:16.315235, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:16.334843, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:16.362691, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:16.387583, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:16.408787, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:16.432298, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:16.457376, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:16.477896, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:16.501045, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:16.531359, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:16.550284, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:16.578840, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:16.601017, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:16.626728, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:16.649585, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:16.680272, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:16.707378, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:16.730498, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:16.755747, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:16.781030, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:16.800476, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:16.827530, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:16.856774, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:16.879469, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:16.901500, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:16.927913, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:16.948395, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:16.979106, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.002960, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.030518, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.049485, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.076936, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.097648, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.126449, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.147964, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.176550, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.198081, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.228607, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.248628, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.277365, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.300154, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.326511, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.346921, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.379231, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.410398, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.443685, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.465808, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.496516, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.524402, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.549231, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.577753, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.608398, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.641400, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.665554, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.693330, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.714741, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.747174, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.774159, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.796508, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.822894, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.861243, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.883751, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.907358, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.933070, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.968409, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:17.990603, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.023541, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.049037, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.073804, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.107432, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.135258, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.230028, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.252442, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.273901, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.298603, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.324067, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.352773, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.384435, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.409588, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.437397, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.460368, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.485062, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.508104, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.533181, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.548889, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.576633, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.598648, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.626466, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.647845, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.664453, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.695219, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.717565, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.741378, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.768407, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.791098, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.812451, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.843144, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.867192, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.892117, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.913123, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.929739, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.961889, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:18.985425, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.011077, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.032791, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.057674, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.081760, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.098959, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.126422, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.150061, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.178547, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.191828, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.228407, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.247664, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.276513, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.302722, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.325550, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.353904, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.376581, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.403975, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.431126, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.460929, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.483891, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.518427, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.548712, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.574951, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.608069, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.628200, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.657678, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.694319, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.715638, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.764379, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.795238, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.810875, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.851506, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.876824, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.904967, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.935215, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.959756, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:19.988235, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:20.009112, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:20.041074, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:20.066656, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:20.091339, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:20.129918, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:20.170550, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:20.195130, AAPL, 213.60, BUY, 93, 212.5308066558838
2025-07-24 01:19:20.224325, AAPL, 213.60, BUY, 93, 212.5308066558838
